Val of n | Time taken to compute in sec.

Matrix algorithm
1   8.999999999992347e-05
10   0.000124000000000013
100   0.0004129999999999967
1000   0.005845999999999907
10000   0.047196000000000016

Naive algorithm
1   8.000000000008e-06
2   9.000000000036756e-06
3   1.0999999999983245e-05
4   1.799999999996249e-05
5   3.2000000000032e-05
6   3.799999999998249e-05
7   6.0000000000060005e-05
8   0.00010299999999996423
9   0.00017199999999994997
10   0.00033799999999994945
11   0.00046199999999996244
12   0.0007670000000000732
13   0.0010310000000000041
14   0.002666000000000057
15   0.004848999999999992
16   0.006761000000000017
17   0.006906000000000079
18   0.018590999999999913
19   0.027163000000000048
20   0.03437000000000001
21   0.06116699999999997
22   0.08406999999999998
23   0.12778100000000003
24   0.25300199999999995
25   0.33485999999999994
26   0.6384460000000001
27   0.8762939999999997
28   1.4484819999999998
29   2.291638
30   3.7324639999999993
31   5.878432

Bottom up algorithm
1   6.000000002615025e-06
10   3.2999999998395424e-05
100   5.799999999922534e-05
1000   0.00031199999999742545
10000   0.0032040000000002067

Closed Form Algorithm
1   3.200000000092018e-05
10   1.9000000001767603e-05
100   4.39999999990448e-05
1000   6.49999999993156e-05
10000   0.001046999999999798
